호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
경부선,세류,617 ,3 ,4266 ,1234 ,10571 ,3136 ,17054 ,4586 ,12069 ,5173 ,6433 ,3833 ,5329 ,3509 ,4982 ,3382 ,5239 ,3890 ,4435 ,4065 ,4099 ,3974 ,5047 ,4690 ,6973 ,6414 ,7527 ,8611 ,5712 ,13400 ,3656 ,9931 ,2914 ,7233 ,2399 ,6932 ,1349 ,5100 ,456 ,3136 ,14 ,940 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,병점,3459 ,20 ,8952 ,3768 ,31711 ,12873 ,60768 ,23356 ,51150 ,36117 ,35192 ,21201 ,28934 ,17539 ,27572 ,18395 ,28328 ,21680 ,24227 ,19099 ,23709 ,22559 ,27527 ,27765 ,32797 ,34761 ,37066 ,47176 ,36598 ,56305 ,23212 ,46300 ,16069 ,34550 ,13188 ,27028 ,9070 ,26893 ,3500 ,17856 ,56 ,7489 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,세마,244 ,5 ,2181 ,1697 ,6183 ,4069 ,11494 ,5566 ,11294 ,11629 ,7017 ,2822 ,5187 ,2266 ,4649 ,2719 ,4941 ,2727 ,4808 ,3508 ,4232 ,3474 ,5141 ,3800 ,7417 ,6820 ,8029 ,8904 ,9270 ,9146 ,3589 ,8458 ,2481 ,5414 ,2111 ,5261 ,1480 ,4926 ,555 ,2536 ,60 ,247 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,오산대,389 ,1 ,3264 ,1306 ,7838 ,2738 ,14992 ,4908 ,11650 ,11664 ,7598 ,5476 ,5952 ,6005 ,5503 ,5507 ,5818 ,4635 ,6586 ,5508 ,6141 ,5151 ,8014 ,4874 ,10130 ,7015 ,10149 ,10093 ,9848 ,14168 ,4447 ,10880 ,3670 ,6584 ,3446 ,6023 ,2401 ,5057 ,1143 ,3098 ,73 ,293 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,오산,514 ,3 ,7802 ,2346 ,17112 ,11430 ,29596 ,28672 ,30679 ,22161 ,22524 ,16634 ,19757 ,13461 ,19203 ,11702 ,20234 ,15361 ,17273 ,15954 ,17270 ,15586 ,19228 ,20145 ,23686 ,25690 ,26973 ,30885 ,28188 ,34210 ,16914 ,26154 ,13084 ,19662 ,9163 ,16213 ,5710 ,11669 ,2352 ,8806 ,141 ,801 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,진위,35 ,0 ,863 ,271 ,1810 ,2858 ,3352 ,8966 ,3013 ,8489 ,2326 ,2875 ,1865 ,2410 ,2059 ,1356 ,1893 ,1349 ,2163 ,1394 ,1892 ,1388 ,3926 ,1682 ,4423 ,2027 ,7824 ,2922 ,8921 ,2700 ,3385 ,2637 ,1734 ,1680 ,1074 ,1746 ,586 ,1189 ,266 ,877 ,20 ,76 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,송탄,80 ,1 ,5799 ,948 ,8984 ,3494 ,14210 ,6936 ,13021 ,10016 ,10200 ,4991 ,8622 ,4435 ,9010 ,4563 ,8501 ,5622 ,8054 ,5875 ,6909 ,6727 ,8227 ,8242 ,10221 ,9765 ,10192 ,13285 ,10027 ,13380 ,6035 ,13295 ,4376 ,10620 ,4076 ,8737 ,2515 ,7992 ,1118 ,6718 ,58 ,651 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,서정리,39 ,3 ,5327 ,4770 ,12913 ,9981 ,19991 ,18410 ,19098 ,24966 ,15668 ,11190 ,13995 ,8341 ,13086 ,8102 ,14462 ,11041 ,12264 ,11505 ,12477 ,10899 ,15514 ,13282 ,23668 ,17984 ,39192 ,22757 ,23381 ,20749 ,13173 ,19480 ,10029 ,16133 ,7841 ,11854 ,5178 ,12319 ,2606 ,8242 ,114 ,859 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,평택지제,11 ,1 ,2879 ,6961 ,5907 ,9930 ,13156 ,13622 ,12347 ,7762 ,8008 ,5411 ,6563 ,3768 ,6336 ,4692 ,6877 ,5048 ,4852 ,4288 ,5472 ,4885 ,8077 ,6091 ,8590 ,8022 ,15734 ,10820 ,10345 ,11506 ,9174 ,9950 ,6016 ,7269 ,4987 ,6484 ,4911 ,6308 ,2465 ,3574 ,55 ,390 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,평택,96 ,4 ,8417 ,3003 ,15290 ,9721 ,31056 ,17921 ,34111 ,28364 ,30303 ,25664 ,25448 ,19519 ,24215 ,23070 ,24543 ,24950 ,24882 ,24248 ,24416 ,26934 ,26727 ,29409 ,30880 ,36227 ,35759 ,44492 ,32357 ,44214 ,23279 ,27187 ,23716 ,24945 ,16341 ,17711 ,13716 ,14265 ,7558 ,8350 ,127 ,2573 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,성환,38 ,0 ,2253 ,909 ,4014 ,3383 ,7823 ,15101 ,7259 ,24709 ,7545 ,28383 ,7595 ,12179 ,7964 ,7776 ,11554 ,12599 ,13539 ,11829 ,13356 ,6376 ,17669 ,6877 ,26297 ,8321 ,26349 ,9022 ,17874 ,9228 ,7352 ,7165 ,6913 ,6834 ,5605 ,6497 ,4931 ,5772 ,1094 ,5063 ,135 ,1223 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,직산,84 ,4 ,874 ,329 ,1636 ,1385 ,2762 ,3554 ,2546 ,3948 ,1916 ,1516 ,1677 ,1166 ,1586 ,1012 ,1495 ,1311 ,1408 ,1352 ,1268 ,1309 ,1783 ,1211 ,1941 ,1786 ,4013 ,2416 ,3801 ,2405 ,1278 ,2298 ,982 ,1344 ,829 ,1223 ,327 ,1046 ,165 ,938 ,14 ,128 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,두정,1176 ,3 ,5676 ,1767 ,10664 ,4578 ,20075 ,13891 ,18710 ,28114 ,17527 ,25371 ,12726 ,18950 ,13642 ,15165 ,17077 ,17029 ,15352 ,13910 ,14672 ,12338 ,17461 ,12097 ,20179 ,16321 ,21513 ,20724 ,19732 ,26802 ,13749 ,18586 ,10908 ,14400 ,10767 ,10886 ,6430 ,12188 ,3082 ,9329 ,30 ,2379 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,천안,1656 ,2 ,3555 ,881 ,5992 ,3759 ,13315 ,7809 ,12450 ,18649 ,15875 ,16911 ,12196 ,14108 ,14356 ,15456 ,14480 ,15500 ,14146 ,13963 ,20247 ,13487 ,22623 ,14232 ,25784 ,15206 ,22194 ,21557 ,20155 ,20399 ,13457 ,13391 ,9931 ,10300 ,7450 ,7251 ,4438 ,6187 ,2571 ,3647 ,15 ,2362 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,당정,14 ,0 ,4391 ,1136 ,12014 ,3292 ,27834 ,9620 ,23510 ,18125 ,13907 ,11693 ,9821 ,7802 ,9729 ,5518 ,10804 ,7011 ,9055 ,6574 ,8941 ,6694 ,9682 ,8106 ,11662 ,10872 ,13690 ,14628 ,15488 ,21907 ,6429 ,18018 ,5200 ,12366 ,4090 ,9866 ,3352 ,10499 ,1366 ,6684 ,90 ,1241 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,서동탄,1 ,0 ,1461 ,5 ,6352 ,859 ,11470 ,1622 ,4575 ,1334 ,3092 ,824 ,2194 ,717 ,2176 ,1109 ,1844 ,1207 ,1684 ,1295 ,1603 ,1464 ,1801 ,2302 ,1804 ,2698 ,2035 ,3438 ,2342 ,5841 ,953 ,6343 ,809 ,2920 ,508 ,2100 ,458 ,2761 ,150 ,1574 ,7 ,1353 ,0 ,0 ,0 ,0 ,0 ,0 
경부선,광명,0 ,0 ,41 ,1637 ,3833 ,3552 ,11974 ,7093 ,11096 ,8020 ,7730 ,6511 ,4807 ,4077 ,8178 ,2848 ,5725 ,8557 ,5394 ,162 ,3712 ,8735 ,7162 ,4555 ,7819 ,5475 ,9270 ,7415 ,10840 ,13151 ,9348 ,7241 ,3120 ,4796 ,7865 ,3266 ,2775 ,4712 ,1246 ,53 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,개봉,1453 ,6 ,19527 ,6594 ,41446 ,12209 ,97391 ,14486 ,90477 ,23427 ,56857 ,20548 ,40669 ,17547 ,35261 ,19814 ,34972 ,24945 ,31705 ,27068 ,27627 ,29147 ,27603 ,38264 ,31116 ,49643 ,32295 ,64062 ,30982 ,90803 ,19857 ,68228 ,15806 ,43949 ,12469 ,39821 ,9643 ,33411 ,3529 ,19221 ,52 ,1638 ,0 ,1 ,0 ,0 ,0 ,0 
경인선,오류동,515 ,4 ,13687 ,2006 ,20957 ,5272 ,51225 ,6023 ,51030 ,11866 ,32701 ,10805 ,24020 ,9012 ,21181 ,10276 ,21394 ,12288 ,18993 ,14117 ,15745 ,15057 ,15715 ,19704 ,16048 ,23601 ,15729 ,30975 ,14381 ,46602 ,9011 ,37634 ,7068 ,23824 ,5753 ,22645 ,3979 ,19767 ,1969 ,12715 ,61 ,1661 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,역곡,1130 ,6 ,29796 ,3058 ,48272 ,10586 ,117902 ,15070 ,114490 ,40302 ,66893 ,41064 ,45678 ,27423 ,40493 ,29194 ,42091 ,31409 ,41142 ,31897 ,35476 ,35739 ,38548 ,40756 ,44524 ,58881 ,44320 ,75108 ,39480 ,114687 ,24934 ,93182 ,20438 ,52997 ,17402 ,51445 ,14767 ,42695 ,6901 ,28434 ,412 ,3776 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,부천,3435 ,23 ,41166 ,4427 ,44326 ,12383 ,102652 ,18702 ,101507 ,50566 ,65822 ,47134 ,49128 ,43393 ,50323 ,41505 ,52893 ,50384 ,51560 ,55864 ,50914 ,51893 ,56017 ,58665 ,60635 ,67243 ,60417 ,93008 ,59538 ,115075 ,38641 ,93633 ,33120 ,59427 ,30333 ,51561 ,23864 ,41168 ,11661 ,28181 ,812 ,5182 ,1 ,0 ,0 ,0 ,0 ,0 
경인선,송내,1616 ,12 ,17646 ,8030 ,42631 ,17480 ,110160 ,31812 ,92076 ,80946 ,55547 ,41442 ,40476 ,26407 ,38584 ,23013 ,37165 ,26446 ,34701 ,28289 ,31309 ,28757 ,34171 ,34355 ,39147 ,44575 ,50660 ,62481 ,75929 ,92286 ,30929 ,82112 ,23694 ,50139 ,19865 ,43233 ,14812 ,37080 ,6726 ,23241 ,570 ,3652 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,부평,9462 ,73 ,24020 ,4964 ,37532 ,12207 ,87777 ,20306 ,81751 ,33861 ,50986 ,38767 ,41643 ,36383 ,42001 ,40310 ,46085 ,47307 ,45186 ,53009 ,45851 ,53118 ,50487 ,55361 ,54547 ,69585 ,58183 ,89328 ,52407 ,118987 ,40227 ,96411 ,38016 ,56890 ,34537 ,48446 ,29152 ,37518 ,16186 ,24917 ,2443 ,7813 ,0 ,5 ,0 ,0 ,0 ,0 
경인선,백운,138 ,2 ,9554 ,1345 ,16496 ,2659 ,32722 ,4442 ,29834 ,10248 ,18052 ,6841 ,14448 ,6027 ,13410 ,7586 ,12829 ,9185 ,11769 ,9449 ,10343 ,10243 ,10351 ,12935 ,11105 ,16537 ,10952 ,21067 ,9249 ,27280 ,5424 ,26145 ,4597 ,15035 ,4264 ,14231 ,2901 ,12353 ,1531 ,7525 ,154 ,2659 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,동암,679 ,9 ,21891 ,3207 ,31921 ,7637 ,62483 ,13065 ,59667 ,16821 ,36714 ,15158 ,28674 ,13919 ,26103 ,17107 ,26772 ,19672 ,24956 ,19082 ,20962 ,21873 ,21628 ,26021 ,22724 ,33667 ,23937 ,47426 ,21948 ,59701 ,14110 ,52716 ,11771 ,34443 ,10413 ,31459 ,7745 ,26548 ,3999 ,15600 ,437 ,5178 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,주안,910 ,21 ,15457 ,3959 ,30898 ,8819 ,63703 ,19055 ,59783 ,31269 ,38690 ,26282 ,29832 ,20323 ,31236 ,20319 ,33520 ,23640 ,31653 ,21743 ,28588 ,25331 ,31849 ,25271 ,34449 ,35175 ,39463 ,41494 ,37145 ,60061 ,23093 ,57409 ,21230 ,33355 ,19686 ,30442 ,15146 ,27955 ,8113 ,18834 ,737 ,5961 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,제물포,979 ,9 ,8109 ,2559 ,17955 ,6330 ,39086 ,16596 ,34408 ,38049 ,21277 ,18680 ,16735 ,10902 ,17406 ,10159 ,17789 ,13409 ,17015 ,14373 ,15401 ,12467 ,20815 ,14777 ,26815 ,19034 ,25023 ,23688 ,25759 ,33724 ,11114 ,28981 ,8352 ,17000 ,7636 ,15943 ,4514 ,14999 ,1774 ,9883 ,71 ,3321 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,동인천,1736 ,12 ,8197 ,2618 ,19611 ,11053 ,45879 ,23496 ,36211 ,32364 ,23839 ,18922 ,21822 ,18454 ,22530 ,21007 ,23519 ,20958 ,23502 ,23961 ,24147 ,21209 ,29454 ,22707 ,31169 ,26556 ,37557 ,30673 ,38352 ,36892 ,18271 ,34815 ,13904 ,21426 ,11068 ,17520 ,6924 ,16249 ,2602 ,9752 ,17 ,3711 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,인천,359 ,1 ,1366 ,956 ,3406 ,2867 ,6302 ,6562 ,5452 ,9454 ,3900 ,7220 ,3945 ,9253 ,4940 ,12550 ,6777 ,11695 ,9146 ,10081 ,13011 ,8768 ,14948 ,6855 ,17268 ,5397 ,16756 ,5203 ,14742 ,4769 ,7830 ,3372 ,5551 ,2647 ,3529 ,2238 ,1861 ,1821 ,582 ,1191 ,3 ,1061 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,구일,221 ,5 ,4579 ,2086 ,10899 ,5529 ,27870 ,9111 ,23866 ,15069 ,14964 ,16155 ,11528 ,9693 ,11141 ,10149 ,12435 ,17283 ,11469 ,23624 ,10816 ,14135 ,13775 ,18699 ,20573 ,27712 ,28860 ,31863 ,18355 ,43148 ,11937 ,22314 ,19965 ,11713 ,29450 ,11772 ,10910 ,9170 ,2408 ,6571 ,50 ,578 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,소사,1087 ,10 ,14961 ,3340 ,14190 ,5738 ,29499 ,8030 ,26322 ,12001 ,19121 ,10015 ,14996 ,10410 ,13182 ,9450 ,14463 ,11034 ,13243 ,11180 ,12113 ,11390 ,12630 ,13030 ,14538 ,15935 ,14317 ,19779 ,12000 ,25611 ,7104 ,20850 ,5315 ,13870 ,4478 ,13288 ,2919 ,11486 ,1303 ,7707 ,102 ,2114 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,부개,2474 ,10 ,11278 ,1639 ,18477 ,3521 ,42617 ,6572 ,34827 ,11614 ,22182 ,6823 ,16108 ,6396 ,14377 ,7821 ,14354 ,9906 ,13176 ,10227 ,10949 ,11865 ,10801 ,14071 ,12627 ,18696 ,11872 ,24287 ,11138 ,31588 ,6596 ,26854 ,4877 ,17437 ,4026 ,15547 ,2586 ,12537 ,1394 ,8886 ,213 ,2468 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,간석,319 ,4 ,6365 ,1415 ,11907 ,2914 ,23481 ,4749 ,21136 ,9797 ,12674 ,5467 ,10427 ,5578 ,9549 ,5980 ,9900 ,6704 ,9287 ,7958 ,8176 ,8106 ,8827 ,9529 ,9922 ,12652 ,9095 ,14359 ,9635 ,19987 ,5022 ,18162 ,4303 ,11038 ,3741 ,8694 ,2744 ,8121 ,1299 ,5293 ,173 ,1986 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,도원,559 ,12 ,2452 ,1382 ,3952 ,2409 ,8162 ,7777 ,7975 ,21161 ,5233 ,3758 ,4679 ,4599 ,5088 ,3958 ,5511 ,3905 ,6354 ,5050 ,5055 ,5338 ,8783 ,7613 ,11159 ,6865 ,9422 ,6493 ,12445 ,7405 ,3737 ,6158 ,2599 ,4236 ,2573 ,3644 ,930 ,3251 ,418 ,2320 ,38 ,1233 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,온수(성공회대입구),181 ,2 ,5679 ,1340 ,9228 ,3499 ,23535 ,10109 ,21748 ,14062 ,15113 ,8890 ,11510 ,6948 ,11846 ,7409 ,13115 ,8220 ,11043 ,8302 ,10459 ,9372 ,12064 ,9923 ,15263 ,12507 ,13330 ,15304 ,11384 ,22400 ,6035 ,18500 ,4637 ,11014 ,5980 ,10036 ,3098 ,8761 ,1800 ,5761 ,113 ,884 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,중동,1083 ,23 ,12205 ,1214 ,20242 ,3932 ,45667 ,5683 ,36233 ,12360 ,22160 ,8901 ,16931 ,8495 ,15376 ,9329 ,16185 ,10482 ,14700 ,11757 ,12285 ,12231 ,12076 ,15106 ,12309 ,19422 ,13299 ,25607 ,11841 ,34179 ,7378 ,29091 ,5585 ,17947 ,4676 ,16097 ,3135 ,13446 ,1587 ,8875 ,103 ,2058 ,0 ,0 ,0 ,0 ,0 ,0 
경인선,도화,433 ,10 ,4629 ,915 ,7674 ,1875 ,17838 ,4231 ,15139 ,8751 ,9414 ,4139 ,7815 ,3958 ,7798 ,4467 ,7651 ,5637 ,7306 ,6245 ,6585 ,6300 ,6997 ,7764 ,8305 ,9401 ,7565 ,10734 ,7782 ,11967 ,3780 ,11018 ,2873 ,7098 ,2273 ,5928 ,1575 ,5350 ,807 ,4082 ,43 ,1937 ,4 ,3 ,0 ,0 ,0 ,0 
경원선,이촌(국립중앙박물관),75 ,1 ,1110 ,644 ,4142 ,2357 ,9827 ,5176 ,11078 ,9025 ,9187 ,5279 ,7435 ,4282 ,6867 ,4176 ,7339 ,4293 ,7433 ,5241 ,6813 ,5011 ,7724 ,6209 ,8964 ,6746 ,10651 ,7578 ,10992 ,9089 ,6632 ,6703 ,5694 ,4738 ,5094 ,4431 ,3247 ,4348 ,1113 ,2624 ,69 ,807 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,서빙고,89 ,1 ,1096 ,672 ,2339 ,3662 ,3501 ,4333 ,4115 ,10277 ,3848 ,4459 ,3691 ,3967 ,3075 ,3088 ,3868 ,3101 ,3986 ,4560 ,4168 ,4394 ,5275 ,5562 ,6530 ,4487 ,9060 ,3836 ,8234 ,4507 ,3483 ,3967 ,3054 ,2179 ,3016 ,1935 ,1528 ,1672 ,438 ,1072 ,22 ,254 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,한남,139 ,0 ,1031 ,953 ,1839 ,8064 ,3564 ,11774 ,4009 ,15054 ,4047 ,11150 ,4384 ,6957 ,4973 ,5344 ,5434 ,5739 ,5014 ,5471 ,6321 ,4937 ,8499 ,4835 ,11585 ,6072 ,14857 ,6338 ,15024 ,6871 ,7913 ,4991 ,5970 ,2727 ,5967 ,2708 ,4962 ,1808 ,1867 ,1135 ,79 ,347 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,옥수,0 ,0 ,0 ,39 ,8 ,77 ,38 ,42 ,168 ,306 ,49 ,42 ,52 ,238 ,43 ,205 ,28 ,112 ,27 ,21 ,47 ,10 ,22 ,19 ,415 ,62 ,404 ,59 ,98 ,52 ,425 ,16 ,67 ,27 ,59 ,17 ,13 ,5 ,15 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,응봉,159 ,0 ,1399 ,213 ,3188 ,1197 ,7924 ,1667 ,7772 ,2813 ,5736 ,2336 ,4114 ,2920 ,3770 ,2561 ,3502 ,2903 ,3268 ,3507 ,3178 ,3696 ,3609 ,3858 ,4073 ,4855 ,3615 ,5513 ,3249 ,5896 ,2196 ,5596 ,1714 ,3366 ,1228 ,2779 ,1018 ,2341 ,371 ,1484 ,37 ,486 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,왕십리(성동구청),877 ,8 ,5946 ,1480 ,9660 ,6670 ,29570 ,14203 ,44005 ,25112 ,28411 ,22679 ,18936 ,22531 ,19394 ,21852 ,24278 ,24419 ,27740 ,26034 ,27451 ,26234 ,30749 ,30245 ,36922 ,35106 ,40652 ,49949 ,38146 ,68027 ,30725 ,49311 ,30402 ,30007 ,32575 ,24549 ,29471 ,21416 ,14009 ,12470 ,1529 ,4525 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,청량리(서울시립대입구),1401 ,15 ,5870 ,1784 ,9409 ,15128 ,34379 ,18617 ,47032 ,26374 ,31609 ,36683 ,34158 ,32036 ,31063 ,40256 ,36518 ,35103 ,35427 ,31917 ,34948 ,39052 ,32161 ,41197 ,44627 ,40331 ,38931 ,40331 ,38717 ,55386 ,28801 ,40471 ,32565 ,24450 ,18273 ,25253 ,10756 ,15136 ,7445 ,8370 ,232 ,3870 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,외대앞,443 ,16 ,5651 ,4453 ,8419 ,12107 ,21578 ,6887 ,25015 ,28904 ,17014 ,13989 ,13599 ,20622 ,14706 ,19337 ,16522 ,17711 ,17251 ,13701 ,19995 ,17542 ,20786 ,14248 ,28629 ,17066 ,32455 ,20460 ,20824 ,26108 ,14292 ,20442 ,12690 ,14810 ,12961 ,14116 ,10067 ,15038 ,5540 ,11617 ,355 ,3038 ,0 ,1 ,0 ,0 ,0 ,0 
경원선,신이문,1655 ,15 ,8652 ,1569 ,15078 ,5529 ,37850 ,4486 ,41392 ,9111 ,23772 ,6238 ,16387 ,6003 ,14212 ,7504 ,14244 ,9197 ,13477 ,9798 ,10865 ,10383 ,10642 ,15631 ,11630 ,18579 ,11153 ,22734 ,10000 ,32244 ,6457 ,24000 ,4172 ,17189 ,2963 ,14704 ,2346 ,13213 ,1096 ,8302 ,84 ,2038 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,석계,1336 ,7 ,6000 ,1914 ,11180 ,4325 ,23141 ,5587 ,25646 ,9489 ,18068 ,7624 ,15279 ,7779 ,14117 ,9700 ,14339 ,9941 ,13397 ,11459 ,11994 ,12310 ,11959 ,16286 ,12717 ,21442 ,12650 ,25800 ,11379 ,35905 ,8686 ,25703 ,7095 ,18790 ,6692 ,16165 ,5413 ,12953 ,3112 ,8438 ,121 ,1942 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,광운대,2542 ,27 ,7160 ,1249 ,14261 ,2732 ,33094 ,6877 ,30093 ,23734 ,17449 ,12237 ,13563 ,13075 ,13745 ,17596 ,13798 ,12382 ,14986 ,14148 ,14958 ,13246 ,16258 ,13118 ,17515 ,16710 ,18161 ,19805 ,14743 ,27073 ,8626 ,21507 ,8295 ,14593 ,8477 ,12721 ,6697 ,11358 ,3587 ,9445 ,241 ,5159 ,2 ,0 ,0 ,0 ,0 ,0 
경원선,월계,1174 ,10 ,5366 ,1133 ,11247 ,3073 ,27662 ,8209 ,25171 ,17223 ,16397 ,18341 ,13079 ,10242 ,13365 ,7702 ,14475 ,9701 ,13233 ,12374 ,11953 ,9975 ,14299 ,10632 ,19757 ,14006 ,17252 ,16405 ,12437 ,22878 ,6792 ,18734 ,5037 ,11183 ,4723 ,10325 ,3515 ,8801 ,1493 ,5836 ,115 ,1240 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,녹천,1310 ,45 ,4270 ,858 ,8744 ,1733 ,22042 ,4938 ,19695 ,5547 ,10812 ,2832 ,8635 ,3518 ,6988 ,3461 ,8101 ,4372 ,6171 ,4438 ,5472 ,5473 ,5542 ,6366 ,7317 ,7790 ,5886 ,9767 ,4675 ,14271 ,3204 ,12688 ,2111 ,7536 ,1934 ,6769 ,1649 ,6520 ,464 ,3780 ,40 ,1025 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,창동,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,7 ,0 ,14 ,0 ,11 ,0 ,14 ,0 ,9 ,0 ,12 ,0 ,9 ,0 ,6 ,0 ,1 ,0 ,8 ,0 ,12 ,0 ,4 ,0 ,1 ,0 ,2 ,0 ,3 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,방학,721 ,9 ,13044 ,1726 ,16630 ,6304 ,36950 ,10931 ,32582 ,20542 ,23306 ,12601 ,18438 ,11330 ,17566 ,11038 ,19147 ,12927 ,16992 ,14100 ,14684 ,16114 ,15271 ,19458 ,16983 ,22698 ,16989 ,26296 ,17801 ,29262 ,11102 ,29810 ,7855 ,16623 ,6491 ,14077 ,4285 ,12650 ,2067 ,7440 ,274 ,2683 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,도봉,317 ,30 ,7274 ,1298 ,10748 ,3427 ,21897 ,4301 ,18626 ,11104 ,14127 ,8367 ,12099 ,7717 ,11146 ,7396 ,10619 ,8785 ,10606 ,8839 ,10114 ,9835 ,9641 ,11271 ,9648 ,12986 ,10356 ,15100 ,10838 ,16450 ,5140 ,15960 ,3246 ,9269 ,2672 ,8140 ,1950 ,7474 ,782 ,4337 ,138 ,1632 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,도봉산,299 ,13 ,6746 ,975 ,10603 ,2518 ,22375 ,5044 ,22059 ,9031 ,15557 ,14005 ,13595 ,18140 ,13660 ,16344 ,15822 ,16608 ,19151 ,13050 ,21494 ,11228 ,23556 ,10740 ,23316 ,10853 ,19708 ,10668 ,15335 ,10919 ,10199 ,9372 ,5527 ,5828 ,3983 ,4991 ,2388 ,4684 ,973 ,3002 ,151 ,1396 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,망월사,488 ,13 ,7390 ,1149 ,13335 ,3684 ,29644 ,6294 ,27359 ,24814 ,19221 ,18365 ,15864 ,11367 ,15956 ,18302 ,17205 ,14141 ,18009 ,13182 ,17699 ,14645 ,16025 ,14324 ,18656 ,17076 ,20673 ,21062 ,12992 ,27453 ,7635 ,23714 ,6714 ,14456 ,5221 ,12334 ,4288 ,11584 ,2111 ,6786 ,411 ,3531 ,0 ,0 ,0 ,0 ,0 ,0 
경원선,회룡,1678 ,14 ,15897 ,2472 ,30927 ,6254 ,61268 ,9899 ,52903 ,14111 ,34793 ,11934 ,29236 ,11796 ,26341 ,14084 ,24248 ,16646 ,20874 ,18346 ,17946 ,20679 ,16919 ,25830 ,17211 ,30615 ,15924 ,39006 ,13732 ,50339 ,8407 ,44154 ,6889 ,27554 ,5531 ,21886 ,4245 ,18314 ,1970 ,11263 ,385 ,5443 ,0 ,1 ,0 ,0 ,0 ,0 
경원선,의정부,2743 ,6 ,10698 ,2499 ,30346 ,8289 ,51599 ,13770 ,50373 ,37382 ,31735 ,37953 ,27148 ,26832 ,28990 ,31488 ,31644 ,32592 ,32865 ,37428 ,33640 ,33224 ,35159 ,33945 ,38025 ,37639 ,43210 ,46688 ,43841 ,59438 ,26934 ,53455 ,25833 ,32281 ,18350 ,26499 ,14044 ,22996 ,7679 ,16237 ,1081 ,8796 ,0 ,0 ,0 ,0 ,0 ,0 
